company_name,establishment_name,state,naics_code,industry_description,size,employees,total_injuries,total_deaths,total_dafw_cases,total_djtr_cases,risk_score,normalized_risk,injury_rate,fatality_rate,severity_load,lost_time_index,industry_avg_risk,risk_z_score,risk_category
Domino's Pizza LLC,South Texas - SCC,TX,493120,Refrigerated warehousing,22,186.0,2,0,1,1,555561.17,2986888.01,10.75,0.0,2,55555567,536.88,32.53,CRITICAL OUTLIER
"Hodo, Inc.","Hodo, Inc.",CA,311991,,22,1.0,10,0,9,1,31.26,31260.0,10000.0,0.0,10,176,24.39,0.17,NORMAL RISK
NYC Health Hospitals,NYC Health Hospitals Gouverneur Skilled Nursing,NY,623110,Nursing Facility,1,2.0,14,0,14,0,56.87,28435.0,7000.0,0.0,14,1487,13.46,2.49,HIGH RISK OUTLIER
Department of Homeless Services,Franklin Women Shelter,NY,923130,Community social service program administration,1,1.0,6,0,6,0,25.27,25270.0,6000.0,0.0,6,727,4.07,1.74,ABOVE AVERAGE RISK
Zuma and Sons Distributors,ZUMA AND SONS DISTRIBUTORS CORPORATION,FL,424450,Confectionery merchant wholesalers,22,133.0,7,0,3,3,3038.08,22842.71,52.63,0.0,6,302058,5.29,33.61,CRITICAL OUTLIER
City of Woodbury,City of Woodbury - Public Safety - Police,MN,922120,Police departments (except American Indian or Alaska Native),21,93.0,7,0,6,1,1727.44,18574.62,75.27,0.0,7,170694,30.26,18.83,CRITICAL OUTLIER
CenCal Delivery LLC,CenCal Delivery LLC,CA,492110,Couriers and Express Delivery Services,1,1.0,12,0,1,2,17.51,17510.0,12000.0,0.0,3,51,32.44,-0.21,NORMAL RISK
HDG Hotels LLC,Holiday Inn Brandon,FL,721110,Hotels (except casino hotels),21,26.0,3,0,2,0,444.07,17079.62,115.38,0.0,2,43707,8.52,19.51,CRITICAL OUTLIER
Goodwill Industries of Central Michigans Heartland,Mason Store,MI,459510,Thrift Shop,1,16.0,106,0,0,106,265.07,16566.88,6625.0,0.0,106,7,4.12,15.69,CRITICAL OUTLIER
DHS,Ana's Place,NY,923130,Community social service program administration,1,1.0,3,0,5,0,14.94,14940.0,3000.0,0.0,5,194,4.07,0.89,NORMAL RISK
AAA Concrete,AAA Concrete,WA,327320,Central-mixed concrete manufacturing,21,76.0,4,0,2,0,1107.06,14566.58,52.63,0.0,2,109906,4.37,33.19,CRITICAL OUTLIER
US Postal Service,GRAVOIS_1365462,MO,491110,Mail and Parcel Delivery,1,2.0,11,0,1,9,29.1,14550.0,5500.0,0.0,10,260,9.91,1.25,ABOVE AVERAGE RISK
Acadia Healthcare Management Company Inc,Geisinger Behavioral Health CenterNortheast,PA,622210,Outpatient mental health and substance abuse centers,1,3.0,21,0,3,7,41.48,13826.67,7000.0,0.0,10,398,26.75,0.18,NORMAL RISK
US Postal Service,HAMTRAMCK_1437858,MI,491110,Mail and Parcel Delivery,1,2.0,9,0,4,5,26.66,13330.0,4500.0,0.0,9,216,9.91,1.09,ABOVE AVERAGE RISK
US Postal Service,DOWNTOWN NORTHBROOK_1375495,IL,491110,Mail and Parcel Delivery,1,1.0,5,0,3,1,13.24,13240.0,5000.0,0.0,4,74,9.91,0.22,NORMAL RISK
"Fuse Fabrication, LLC","Fuse Fabrication, LLC",FL,238190,"Welding, on site, contractors",21,1.0,7,0,3,0,13.06,13060.0,7000.0,0.0,3,6,4.08,0.84,NORMAL RISK
Department of Homeless Services,Jerome Avenue Shelter,NY,923130,Community social service program administration,1,1.0,3,0,3,0,12.63,12630.0,3000.0,0.0,3,363,4.07,0.7,NORMAL RISK
First Student,20185 Naperville,IL,485410,"Bus operation, school and employee",3,381.0,6,0,5,1,4754.48,12478.95,15.75,0.0,6,473698,10.44,34.49,CRITICAL OUTLIER
US Postal Service,BERLIN_1354745,MD,491110,Mail and Parcel Delivery,1,1.0,5,0,3,0,11.87,11870.0,5000.0,0.0,3,87,9.91,0.13,NORMAL RISK
Alliance Interiors,Alliance Interiors,MI,336360,"Seats for public conveyances, manufacturing",22,4.0,19,0,3,12,47.47,11867.5,4750.0,0.0,15,447,21.24,0.71,NORMAL RISK
CrossCountry Freight Solutions,LAS,NV,484110,General Freight Trucking,1,1.0,4,0,2,2,11.3,11300.0,4000.0,0.0,4,30,7.49,0.32,NORMAL RISK
Marriott Internation,Torrance Marriott Redondo Beach,CA,721110,"Hotels, resort, without casinos",22,4.0,16,0,10,1,43.07,10767.5,4000.0,0.0,11,557,8.52,1.55,ABOVE AVERAGE RISK
US Postal Service,MARCUS HOOK_1371809,PA,491110,Mail and Parcel Delivery,1,1.0,3,0,3,0,10.42,10420.0,3000.0,0.0,3,142,9.91,0.03,NORMAL RISK
CrossCountry Freight Solutions,PUB,CO,484110,General Freight Trucking,1,1.0,4,0,2,1,10.32,10320.0,4000.0,0.0,3,82,7.49,0.24,NORMAL RISK
US Postal Service,VAIL_1385618,AZ,491110,Mail and Parcel Delivery,1,1.0,3,0,2,1,10.13,10130.0,3000.0,0.0,3,163,9.91,0.01,NORMAL RISK
Haisch Construction Company Inc.,Systems Plus Lumber Co. Inc.,CA,321214,"Floor trusses, wood, manufacturing",21,1.0,8,0,1,0,10.05,10050.0,8000.0,0.0,1,5,9.99,0.0,NORMAL RISK
US Postal Service,HOMEWOOD_1367313,IL,491110,Mail and Parcel Delivery,1,1.0,3,0,2,1,9.91,9910.0,3000.0,0.0,3,141,9.91,0.0,NORMAL RISK
Juzt Construction Inc.,Juzt Construction Inc.,AZ,238130,"Carpentry, framing",21,1.0,6,0,1,1,9.78,9780.0,6000.0,0.0,2,28,9.87,-0.0,NORMAL RISK
US Postal Service,FORT LEAVENWORTH_1435559,KS,491110,Mail and Parcel Delivery,1,1.0,4,0,1,2,9.54,9540.0,4000.0,0.0,3,54,9.91,-0.02,NORMAL RISK
US Postal Service,CONSHOHOCKEN_1358961,PA,491110,Mail and Parcel Delivery,1,2.0,6,0,5,1,18.86,9430.0,3000.0,0.0,6,136,9.91,0.58,NORMAL RISK
"SBE Electrical Contracting, Inc.","SBE Electrical Contracting, Inc.",CA,238210,Electric contracting,22,4.0,13,0,5,7,37.18,9295.0,3250.0,0.0,12,368,4.16,3.43,CRITICAL OUTLIER
US Postal Service,FLANAGAN_1363475,IL,491110,Mail and Parcel Delivery,1,1.0,3,0,3,0,9.21,9210.0,3000.0,0.0,3,21,9.91,-0.05,NORMAL RISK
Unifi Aviation LLC,Unifi Aviation Services New York,NY,488119,Support Activities for Air Transportation,21,20.0,52,0,51,1,183.51,9175.5,2600.0,0.0,52,2801,12.82,5.31,CRITICAL OUTLIER
US Postal Service,HOLCOMB_1367164,MS,491110,Mail and Parcel Delivery,1,1.0,2,1,1,0,9.16,9160.0,2000.0,1000.0,6,16,9.91,-0.05,NORMAL RISK
S2C Management LLC,Republic,TX,531110,Residential Property Management,21,1.0,3,0,3,0,9.09,9090.0,3000.0,0.0,3,9,2.34,0.83,NORMAL RISK
Coos Bay School District,Madison,OR,611110,Elementary and secondary schools,21,3.0,9,0,6,3,27.06,9020.0,3000.0,0.0,9,156,8.46,0.52,NORMAL RISK
US Postal Service,NEW BRUNSWICK_1433617,NJ,491110,Mail and Parcel Delivery,1,2.0,4,0,6,0,17.76,8880.0,2000.0,0.0,6,176,9.91,0.51,NORMAL RISK
US Postal Service,NORTH ATLANTA_1452964,GA,491110,Mail and Parcel Delivery,1,1.0,3,0,1,2,8.76,8760.0,3000.0,0.0,3,76,9.91,-0.08,NORMAL RISK
Encore Countryside Manor West,Encore Countryside Manor West,WI,623311,Assisted-living facilities with on-site nursing facilities,21,2.0,5,0,1,4,17.41,8705.0,2500.0,0.0,5,441,11.23,0.31,NORMAL RISK
Prolink Staffing Services LLC,Cleveland Operations,OH,561311,,1,1.0,4,0,2,0,8.65,8650.0,4000.0,0.0,2,65,10.1,-0.04,NORMAL RISK
US Postal Service,CROWN POINT_1359934,IN,491110,Mail and Parcel Delivery,1,3.0,8,0,6,1,25.06,8353.33,2666.67,0.0,7,356,9.91,0.99,NORMAL RISK
US Postal Service,LUCERNEMINES_1371127,PA,491110,Mail and Parcel Delivery,1,1.0,2,0,2,0,8.33,8330.0,2000.0,0.0,2,233,9.91,-0.1,NORMAL RISK
VISION SCENERY,VISION SCENERY,CA,236220,Theater construction,2,130.0,21,0,2,12,1061.84,8168.0,161.54,0.0,14,101884,3.15,62.56,CRITICAL OUTLIER
Ilum Solar,Ilum Solar -Bakersfield,CA,238210,Electrical contractors,21,1.0,6,0,1,0,8.14,8140.0,6000.0,0.0,1,14,4.16,0.41,NORMAL RISK
Action Property Management,Pacific Gate,CA,531311,Residential property managing,1,1.0,1,0,1,0,8.13,8130.0,1000.0,0.0,1,513,1.79,0.78,NORMAL RISK
"Bone Dry Roofing Florida, Inc.",BDRFL-SarasotaSouth,FL,238160,Asphalt roof shingle installation,1,1.0,4,0,2,0,8.11,8110.0,4000.0,0.0,2,11,4.51,0.45,NORMAL RISK
ROLLING FRITO LAY SALES,FARGO   EmpWorkCtrCd 30001156,ND,424450,Confectionery Merchant Wholesalers,1,1.0,2,0,2,0,7.84,7840.0,2000.0,0.0,2,184,5.29,0.03,NORMAL RISK
Municipality of Anchorage,MOA Fire Department Fire Training Center,AK,922160,"Firefighting (except forest), government and volunteer (except private)",1,4.0,9,0,7,2,31.27,7817.5,2250.0,0.0,9,527,19.65,0.18,NORMAL RISK
CrossCountry Freight Solutions,GFK,ND,484110,General Freight Trucking,1,1.0,3,0,1,1,7.7,7700.0,3000.0,0.0,2,120,7.49,0.02,NORMAL RISK
Resorts at Beaufort,Resorts at Beaufort,SC,623110,Nursing homes,22,9.0,4,0,31,0,68.83,7647.78,444.44,0.0,31,283,13.46,3.17,CRITICAL OUTLIER
S2C Management LLC,The Branch,TX,531110,Residential Property Management,21,1.0,3,0,1,1,7.58,7580.0,3000.0,0.0,2,108,2.34,0.65,NORMAL RISK
Shawano Place,Shawano Place,WI,623311,"Retirement communities, continuing care",21,1.0,2,0,1,1,7.47,7470.0,2000.0,0.0,2,197,11.23,-0.19,NORMAL RISK
US Postal Service,TUCKERTON_1385110,NJ,491110,Mail and Parcel Delivery,1,1.0,2,0,2,0,7.35,7350.0,2000.0,0.0,2,135,9.91,-0.17,NORMAL RISK
CrossCountry Freight Solutions,MSO,MT,484110,General Freight Trucking,1,1.0,2,0,1,1,7.26,7260.0,2000.0,0.0,2,176,7.49,-0.02,NORMAL RISK
CrossCountry Freight Solutions,MOT,ND,484110,General Freight Trucking,1,1.0,2,0,1,1,7.24,7240.0,2000.0,0.0,2,174,7.49,-0.02,NORMAL RISK
Department of Homeless Services,C.Gay ( Help SEC/Keener/Clark Thomas/Meyer),NY,923130,Community social service program administration,1,2.0,4,0,4,0,14.15,7075.0,2000.0,0.0,4,215,4.07,0.83,NORMAL RISK
US Postal Service,FINLAYSON_1363396,MN,491110,Mail and Parcel Delivery,1,1.0,2,0,2,0,6.99,6990.0,2000.0,0.0,2,99,9.91,-0.19,NORMAL RISK
City of Corona,Fire Station 2,CA,922160,"Fire departments (e.g., government, volunteer (except private))",1,4.0,8,0,8,0,27.31,6827.5,2000.0,0.0,8,331,19.65,0.12,NORMAL RISK
University Hospitals,Bedford Medical Center,OH,622110,General medical and surgical hospitals,1,1.0,3,0,1,0,6.8,6800.0,3000.0,0.0,1,180,80.37,-0.48,NORMAL RISK
CrossCountry Freight Solutions,SLC,UT,484110,General Freight Trucking,21,3.0,7,0,4,2,19.51,6503.33,2333.33,0.0,6,151,7.49,1.02,ABOVE AVERAGE RISK
Alta Drywall,Innovative Wall Systems Inc.,CA,238310,Drywall,3,9.0,23,0,0,23,58.41,6490.0,2555.56,0.0,23,91,5.51,3.94,CRITICAL OUTLIER
CrossCountry Freight Solutions,ABQ,NM,484110,General Freight Trucking,21,1.0,3,0,0,2,6.37,6370.0,3000.0,0.0,2,37,7.49,-0.1,NORMAL RISK
LANG BUILDING SUPPLY,Main location,GA,444190,Building materials supply dealers,21,1.0,2,0,2,0,6.28,6280.0,2000.0,0.0,2,28,3.94,0.36,NORMAL RISK
DESC,Crisis Solutions Center,WA,624221,Homeless shelters,2,17.0,13,0,36,8,105.68,6216.47,764.71,0.0,44,868,12.5,3.37,CRITICAL OUTLIER
"Sodexo, Inc.",SODEXO AT MOUNTAIN AMERICA EXPO CENTER,UT,722310,Food Service Contractors,1,1.0,2,0,1,0,6.1,6100.0,2000.0,0.0,1,210,1.39,0.8,NORMAL RISK
US Postal Service,FRANKFORD_1363976,DE,491110,Mail and Parcel Delivery,1,1.0,2,0,2,0,6.07,6070.0,2000.0,0.0,2,7,9.91,-0.25,NORMAL RISK
Seven Hills Foundation,10 Welby Road New Bedford MA,MA,621330,Human Services,1,1.0,2,0,2,0,6.05,6050.0,2000.0,0.0,2,5,4.46,0.18,NORMAL RISK
US Postal Service,MARSHFIELD_1371981,VT,491110,Mail and Parcel Delivery,1,1.0,2,0,1,1,6.04,6040.0,2000.0,0.0,2,54,9.91,-0.25,NORMAL RISK
US Postal Service,VALMEYER_1385691,IL,491110,Mail and Parcel Delivery,1,1.0,2,0,2,0,6.03,6030.0,2000.0,0.0,2,3,9.91,-0.25,NORMAL RISK
Packages LLC,Packages LLC,AZ,492110,"Courier services (i.e., intercity network) (except establishments operating under a universal service obligation)",22,5.0,12,0,7,1,29.61,5922.0,2400.0,0.0,8,211,32.44,-0.04,NORMAL RISK
ABC Company,Plant 1,DC,112210,Hog feedlots,21,77.0,94,0,141,47,453.55,5890.26,1220.78,0.0,188,705,7.12,16.43,CRITICAL OUTLIER
Partners In Excellence,North St. Paul,MN,621420,"Mental health centers and clinics (except hospitals), outpatient",2,1.0,2,0,1,0,5.8,5800.0,2000.0,0.0,1,180,2.85,0.17,NORMAL RISK
FedEx Freight,Des Moines Shop IA FXFE-DSMS,IA,484122,Less Than Truckload General Freight Trucking,1,1.0,2,0,1,0,5.8,5800.0,2000.0,0.0,1,180,10.61,-0.3,NORMAL RISK
CrossCountry Freight Solutions,DSM,IA,484110,General Freight Trucking,21,1.0,2,0,1,1,5.73,5730.0,2000.0,0.0,2,23,7.49,-0.15,NORMAL RISK
US Postal Service,WYANDOTTE WEST_1435654,KS,491110,Mail and Parcel Delivery,1,1.0,2,0,1,1,5.72,5720.0,2000.0,0.0,2,22,9.91,-0.27,NORMAL RISK
CrossCountry Freight Solutions,DEN,CO,484110,General Freight Trucking,22,5.0,10,0,5,2,28.37,5674.0,2000.0,0.0,7,537,7.49,1.77,ABOVE AVERAGE RISK
US Postal Service,WARREN_1386429,OH,491110,Mail and Parcel Delivery,1,3.0,4,1,3,0,16.92,5640.0,1333.33,333.33,8,192,9.91,0.46,NORMAL RISK
DHS,Street Homelessness Solutions,NY,923130,Community social service program administration,1,5.0,6,0,7,0,28.15,5630.0,1200.0,0.0,7,815,4.07,1.98,ABOVE AVERAGE RISK
CrossCountry Freight Solutions,KSP,MT,484110,General Freight Trucking,1,1.0,2,0,0,2,5.58,5580.0,2000.0,0.0,2,58,7.49,-0.16,NORMAL RISK
CrossCountry Freight Solutions,WIC,KS,484110,General Freight Trucking,21,2.0,4,0,3,0,11.15,5575.0,2000.0,0.0,3,115,7.49,0.31,NORMAL RISK
Coastal Home Care LLC,Columbus GA,GA,624120,Services for the Elderly and Persons with Disabilities,1,1.0,2,0,1,1,5.51,5510.0,2000.0,0.0,2,1,5.72,-0.02,NORMAL RISK
US Postal Service,MAHWAH_1371440,NJ,491110,Mail and Parcel Delivery,1,2.0,3,0,3,0,10.92,5460.0,1500.0,0.0,3,192,9.91,0.07,NORMAL RISK
"Stonecushion, Inc.",Pinschower Inn,CA,312130,"Wines, Brandy, and Brandy Spirits",1,1.0,1,0,1,0,5.46,5460.0,1000.0,0.0,1,246,5.82,-0.03,NORMAL RISK
US Postal Service,HARWOOD HEIGHTS_1434859,IL,491110,Mail and Parcel Delivery,1,4.0,8,0,4,3,21.72,5430.0,2000.0,0.0,7,122,9.91,0.77,NORMAL RISK
US Postal Service,IRWIN_1375345,PA,491110,Mail and Parcel Delivery,1,2.0,3,0,3,0,10.82,5410.0,1500.0,0.0,3,182,9.91,0.06,NORMAL RISK
S2C Management LLC,The Reid,TX,531110,Residential Property Management,1,1.0,2,0,1,0,5.37,5370.0,2000.0,0.0,1,137,2.34,0.37,NORMAL RISK
Springbrook NY Inc,Springbrook NY Inc - HCBS DHWOW 642,NY,623210,,1,1.0,1,0,2,0,5.37,5370.0,1000.0,0.0,2,37,5.7,-0.02,NORMAL RISK
Therm-All PDL,Stockton PDL,CA,444190,Prefabricated building dealers,1,1.0,2,0,0,2,5.3,5300.0,2000.0,0.0,2,30,3.94,0.21,NORMAL RISK
DHS,Barbara Kleinman Residence,NY,923130,Community social service program administration,1,2.0,3,0,2,0,10.6,5300.0,1500.0,0.0,2,360,4.07,0.54,NORMAL RISK
US Postal Service,VINELAND_1386014,NJ,491110,Mail and Parcel Delivery,1,3.0,5,0,5,0,15.52,5173.33,1666.67,0.0,5,52,9.91,0.37,NORMAL RISK
US Postal Service,HAZELWOOD_1366589,MO,491110,Mail and Parcel Delivery,1,3.0,5,0,3,2,15.31,5103.33,1666.67,0.0,5,131,9.91,0.35,NORMAL RISK
CrossCountry Freight Solutions,MSP,MN,484110,General Freight Trucking,21,3.0,7,0,4,0,15.21,5070.0,2333.33,0.0,4,21,7.49,0.65,NORMAL RISK
CrossCountry Freight Solutions,SAL,KS,484110,General Freight Trucking,1,1.0,3,0,1,0,5.07,5070.0,3000.0,0.0,1,7,7.49,-0.21,NORMAL RISK
S2C Management LLC,Hudson,TX,531110,Residential Property Management,1,1.0,2,0,0,2,5.06,5060.0,2000.0,0.0,2,6,2.34,0.34,NORMAL RISK
US Postal Service,LOOP CLARK STREET_1370924,IL,491110,Mail and Parcel Delivery,1,6.0,10,0,8,1,30.08,5013.33,1666.67,0.0,9,258,9.91,1.32,ABOVE AVERAGE RISK
ROLLING FRITO LAY SALES,RALEIGH DC   EmpWorkCtrCd 30001133,NC,424450,Confectionery Merchant Wholesalers,1,5.0,7,1,1,5,25.06,5012.0,1400.0,200.0,11,356,5.29,0.22,NORMAL RISK
CrossCountry Freight Solutions,OMA,NE,484110,General Freight Trucking,21,2.0,5,0,1,1,10.01,5005.0,2500.0,0.0,2,151,7.49,0.21,NORMAL RISK
US Postal Service,SABIN_1380204,MN,491110,Mail and Parcel Delivery,1,1.0,2,0,1,0,5.0,5000.0,2000.0,0.0,1,100,9.91,-0.32,NORMAL RISK
US Postal Service,RIVERTON_1379489,NJ,491110,Mail and Parcel Delivery,1,2.0,3,0,3,0,9.82,4910.0,1500.0,0.0,3,82,9.91,-0.01,NORMAL RISK
"Rental Concepts, LLC","Rental Concepts, LLC",AR,441320,"Tire dealers, automotive",3,8.0,13,0,12,1,38.95,4868.75,1625.0,0.0,13,45,3.36,7.71,CRITICAL OUTLIER
US Postal Service,BARDSTOWN_1354034,KY,491110,Mail and Parcel Delivery,1,2.0,3,0,3,0,9.65,4825.0,1500.0,0.0,3,65,9.91,-0.02,NORMAL RISK
SOUTHERN CALIFORNIA GAS COMPANY,Commerce Branch Ofc - Bld 1111 - 15,CA,221210,Natural Gas Distribution Srv.,1,1.0,1,0,1,0,4.82,4820.0,1000.0,0.0,1,182,3.48,0.15,NORMAL RISK
US Postal Service,CAMP LAKE_1356775,WI,491110,Mail and Parcel Delivery,1,1.0,1,0,1,0,4.8,4800.0,1000.0,0.0,1,180,9.91,-0.33,NORMAL RISK
ROLLING FRITO LAY SALES,GUNNISON CO BIN   EmpWorkCtrCd 30000253,CO,424450,Confectionery Merchant Wholesalers,1,1.0,1,0,1,0,4.8,4800.0,1000.0,0.0,1,180,5.29,-0.01,NORMAL RISK
Davis Cartage Co.,Davis Cartage Co. 3,MI,484122,"Trucking, general freight, long-distance, less-than-truckload (LTL)",1,1.0,1,0,1,0,4.8,4800.0,1000.0,0.0,1,180,10.61,-0.36,NORMAL RISK
CBRE Inc,CBRE-50 W 5th Street,OH,561210,Activities related to Real Estate and Facilities Support Services,1,1.0,1,0,1,0,4.8,4800.0,1000.0,0.0,1,180,1.67,0.22,NORMAL RISK
US Postal Service,MOORESTOWN_1373726,NJ,491110,Mail and Parcel Delivery,1,2.0,3,0,2,1,9.57,4785.0,1500.0,0.0,3,107,9.91,-0.02,NORMAL RISK
CrossCountry Freight Solutions,ELP,TX,484110,General Freight Trucking,1,1.0,3,0,0,1,4.75,4750.0,3000.0,0.0,1,25,7.49,-0.23,NORMAL RISK
Victor Treatment Centers,VTC Perris,CA,621420,"Mental health centers and clinics (except hospitals), outpatient",1,1.0,1,0,1,1,4.73,4730.0,1000.0,0.0,2,23,2.85,0.11,NORMAL RISK
S2C Management LLC,Allure,NC,531110,Residential Property Management,1,1.0,1,0,1,1,4.66,4660.0,1000.0,0.0,2,16,2.34,0.29,NORMAL RISK
CrossCountry Freight Solutions,NPL,NE,484110,General Freight Trucking,1,1.0,1,0,1,0,4.62,4620.0,1000.0,0.0,1,162,7.49,-0.24,NORMAL RISK
"Ryder System, Inc.",Ryder Location 9921,MD,484121,"General freight trucking, long-distance, truckload (TL)",1,3.0,3,0,3,0,13.81,4603.33,1000.0,0.0,3,481,9.02,0.18,NORMAL RISK
CrossCountry Freight Solutions,NCS,CO,484110,General Freight Trucking,1,1.0,2,0,1,0,4.6,4600.0,2000.0,0.0,1,60,7.49,-0.25,NORMAL RISK
DHS,Atlantic Armory,NY,923130,Community social service program administration,1,5.0,5,0,7,0,22.87,4574.0,1000.0,0.0,7,387,4.07,1.55,ABOVE AVERAGE RISK
Ignite Logistics,Ignite Logistics,OH,492210,"Delivery service (except as part of intercity carrier network, U.S. Postal Service)",22,20.0,44,0,21,0,90.11,4505.5,2200.0,0.0,21,411,20.25,3.12,CRITICAL OUTLIER
"Mr. Bult's, Inc.",513 - Baltimore,MD,562111,"Trash hauling, local",1,2.0,3,0,2,0,8.84,4420.0,1500.0,0.0,2,184,10.51,-0.08,NORMAL RISK
CrossCountry Freight Solutions,KCY,KS,484110,General Freight Trucking,21,2.0,3,0,2,0,8.49,4245.0,1500.0,0.0,2,149,7.49,0.08,NORMAL RISK
Utz Quality Foods LLC,Jackson MS,MS,424410,General Line Grocery Merchant Wholesalers,1,1.0,1,0,1,0,4.2,4200.0,1000.0,0.0,1,120,34.97,-0.59,NORMAL RISK
Ricoh USA Inc,878 - Jll Dell Inc Ok,OK,423420,Office Equipment,1,1.0,1,0,1,0,4.19,4190.0,1000.0,0.0,1,119,0.26,3.41,CRITICAL OUTLIER
Welltower Inc.,"Welltower Inc. (Property Mgmt - Costa Mesa, CA)												",CA,531312,Nonresidential  property managing,1,1.0,1,0,1,0,4.17,4170.0,1000.0,0.0,1,117,2.61,0.18,NORMAL RISK
US Postal Service,SOUTH JERSEY DISTRICT_1434045,NJ,491110,Mail and Parcel Delivery,1,1.0,1,0,1,0,4.14,4140.0,1000.0,0.0,1,114,9.91,-0.38,NORMAL RISK
S2C Management LLC,Stetson,TX,531110,Residential Property Management,1,1.0,2,0,1,0,4.13,4130.0,2000.0,0.0,1,13,2.34,0.22,NORMAL RISK
City of Bennettsville,Municipal Government,SC,921110,City and town managers' offices,2,5.0,13,0,3,1,20.6,4120.0,2600.0,0.0,4,10,14.73,0.12,NORMAL RISK
REFE,Refrigerated Food Express LLC,PA,484121,"Motor freight carrier, general, long-distance, truckload (TL)",1,1.0,1,0,1,0,4.12,4120.0,1000.0,0.0,1,112,9.02,-0.19,NORMAL RISK
Matanuska-Susitna Borough,Big Lake Transfer Station,AK,562212,Refuse collecting and operating solid waste landfills,1,1.0,1,0,0,1,4.09,4090.0,1000.0,0.0,1,159,5.08,-0.07,NORMAL RISK
CrossCountry Freight Solutions,DIK,ND,484110,General Freight Trucking,1,1.0,1,0,1,0,4.06,4060.0,1000.0,0.0,1,106,7.49,-0.29,NORMAL RISK
ViskoTeepak LLC,ViskoTeepak LLC,WI,326121,"Casings, sausage, nonrigid plastics, manufacturing",22,7.0,9,0,6,3,28.4,4057.14,1285.71,0.0,9,290,6.96,1.98,ABOVE AVERAGE RISK
ROBERTA HEALTH AND REHAB,Roberta Health and Rehab,GA,623110,Skilled nursing facilities,2,2.0,2,0,2,0,8.09,4045.0,1000.0,0.0,2,209,13.46,-0.31,NORMAL RISK
Acadia Healthcare Management Company Inc,Turning Point Centers all,UT,622210,Psychiatric and Substance Abuse Hospitals,1,1.0,2,0,0,1,4.04,4040.0,2000.0,0.0,1,54,26.75,-0.27,NORMAL RISK
Action Property Management,Millennium Tower,CA,531311,Residential property managing,1,2.0,2,0,2,0,8.05,4025.0,1000.0,0.0,2,205,1.79,0.77,NORMAL RISK
S2C Management LLC,8500 Harwood,TX,531110,Residential Property Management,1,1.0,2,0,1,0,4.02,4020.0,2000.0,0.0,1,2,2.34,0.21,NORMAL RISK
Avista,Avista Kamiah,ID,221122,Electric power distribution systems,1,1.0,1,0,1,0,4.02,4020.0,1000.0,0.0,1,102,4.4,-0.04,NORMAL RISK
US Postal Service,GREEN LANTERN_1365536,AL,491110,Mail and Parcel Delivery,1,1.0,1,0,1,0,4.01,4010.0,1000.0,0.0,1,101,9.91,-0.39,NORMAL RISK
"Fred Brown's Recovery Services, Inc.",Psychiatric and Substance Abuse Hospital,CA,622210,"Rehabilitation hospitals, alcoholism and drug addiction",22,6.0,4,4,0,0,24.0,4000.0,666.67,666.67,20,0,26.75,-0.03,NORMAL RISK
US Postal Service,FLEMINGTON_1449899,NJ,491110,Mail and Parcel Delivery,1,1.0,1,0,1,0,4.0,4000.0,1000.0,0.0,1,100,9.91,-0.39,NORMAL RISK
ShipBob,ShipBob ONT6,CA,493110,General warehousing and storage,1,1.0,2,0,0,1,3.99,3990.0,2000.0,0.0,1,49,22.18,-0.23,NORMAL RISK
Action Property Management,One Rincon Hill,CA,531311,Residential property managing,1,1.0,1,0,0,1,3.97,3970.0,1000.0,0.0,1,147,1.79,0.27,NORMAL RISK
CBRE Inc,CBRE-C17-14555 North Hayden Road,AZ,561210,Activities related to Real Estate and Facilities Support Services,1,1.0,1,0,1,0,3.97,3970.0,1000.0,0.0,1,97,1.67,0.17,NORMAL RISK
US Postal Service,LOCH SHELDRAKE_1370730,NY,491110,Mail and Parcel Delivery,1,1.0,1,0,1,0,3.95,3950.0,1000.0,0.0,1,95,9.91,-0.39,NORMAL RISK
"Comcast Cable Communications Management, LLC",VTN70,VT,517111,Cable and Other Subscription Programming,1,2.0,2,0,2,0,7.86,3930.0,1000.0,0.0,2,186,4.31,0.37,NORMAL RISK
Portland Polymers,Portland Polymers,OR,325991,Reformulating plastics resins from recycled plastics products,1,1.0,1,0,1,0,3.92,3920.0,1000.0,0.0,1,92,4.7,-0.12,NORMAL RISK
Sodexo  Inc.,SODEXO AT HENKEL DARIEN O and M,CT,722310,Food Service Contractors,1,1.0,1,0,1,0,3.91,3910.0,1000.0,0.0,1,91,1.39,0.43,NORMAL RISK
Sizemore Inc,22030 Trane,SC,561720,Janitorial Services,1,1.0,1,0,0,1,3.91,3910.0,1000.0,0.0,1,141,3.25,0.04,NORMAL RISK
Tidal Wave Auto Spa,E0058-Buford GA -Lanier/Friendship,GA,811192,Car washes,1,6.0,8,0,3,4,23.45,3908.33,1333.33,0.0,7,345,1.98,5.45,CRITICAL OUTLIER
J Polep Distribution Services,J Polep Wilmington,MA,424410,General-line groceries merchant wholesalers,21,20.0,31,0,0,31,77.84,3892.0,1550.0,0.0,31,34,34.97,0.82,NORMAL RISK
US Postal Service,OZONE PARK ANNEX_1432709,NY,491110,Mail and Parcel Delivery,1,6.0,7,0,7,0,23.11,3851.67,1166.67,0.0,7,211,9.91,0.86,NORMAL RISK
