company_name,establishment_name,state,naics_code,industry_description,size,employees,total_injuries,total_deaths,total_dafw_cases,total_djtr_cases,risk_score,normalized_risk,injury_rate,fatality_rate,severity_load,lost_time_index,industry_avg_risk,risk_z_score,risk_category
Cregger Company,Cregger Company Br 43,NC,423720,Wholesale,1,4.0,2,0,0,2,5.99,1497.5,500.0,0.0,2,99,3.09,0.48,NORMAL RISK
John Deere,John Deere Cylinder Div Moline,IL,333111,Farm tractors and attachments manufacturing,3,338.0,12,0,3,5,505.52,1495.62,35.5,0.0,8,48002,14.17,13.13,CRITICAL OUTLIER
Metz Culinary Management LLC,5045 Sinai Hospital Baltimore,MD,722310,Food Service Contractor,1,9.0,4,0,4,0,13.46,1495.56,444.44,0.0,4,146,1.39,2.04,HIGH RISK OUTLIER
US Postal Service,NORTH WANTAGH_1448923,NY,491110,Mail and Parcel Delivery,1,19.0,9,0,9,0,28.38,1493.68,473.68,0.0,9,138,9.91,1.21,ABOVE AVERAGE RISK
Efficiency Enterprises,Efficiency Enterprises DE,DE,811111,Diesel Engine Repair Shop,1,3.0,1,0,0,1,4.48,1493.33,333.33,0.0,1,198,3.0,0.15,NORMAL RISK
John Deere,Cylinder Works Moline,IL,333992,Welding equipment manufacturing,3,338.0,12,0,3,4,504.02,1491.18,35.5,0.0,7,48002,8.52,10.75,CRITICAL OUTLIER
K&G Petroleum,Store #716; 80 Plum Creek Parkway,CO,447110,Gasoline stations with convenience stores,1,10.0,6,0,2,2,14.9,1490.0,600.0,0.0,4,190,1.22,2.56,HIGH RISK OUTLIER
Utz Quality Foods LLC,Louisville KY,KY,424410,General Line Grocery Merchant Wholesalers,1,4.0,2,0,1,1,5.96,1490.0,500.0,0.0,2,46,34.97,-0.55,NORMAL RISK
Prairie Farms Dairy,Lexington Branch,KY,424430,"Dairy products (except canned, dried) merchant wholesalers",1,11.0,3,0,3,0,16.37,1488.18,272.73,0.0,3,737,13.46,0.14,NORMAL RISK
Salt Lake City Corporation,Fire Training Division,UT,922160,Ambulance and fire service combined,1,15.0,9,0,1,6,22.3,1486.67,600.0,0.0,7,230,19.65,0.04,NORMAL RISK
Sweet Tree Holdings 1 LLC,Warren's Gore,VT,115115,Agriculture production or harvesting crews,21,14.0,10,0,5,0,20.8,1485.71,714.29,0.0,5,80,11.23,0.4,NORMAL RISK
"West Coast Tomato Growers, Inc.","West Coast Tomato Growers, Inc.",CA,111998,AGRICULTURE,3,26.0,13,0,2,12,38.62,1485.38,500.0,0.0,14,362,8.32,1.67,ABOVE AVERAGE RISK
Advantage Solutions US OR PORTLAND - 3901 SE NAEF RD,0355 US OR PORTLAND - 3901 SE NAEF RD,OR,425120,"Agents and brokers,durable goods,wholesale trade",1,2.0,1,0,0,1,2.96,1480.0,500.0,0.0,1,46,2.76,0.03,NORMAL RISK
"United Producers, Inc.",UPI-Frankfort,IN,424520,Hogs merchant wholesalers,1,3.0,1,0,1,0,4.44,1480.0,333.33,0.0,1,144,2.47,0.44,NORMAL RISK
United States Seafoods,F/T Seafreeze America,WA,311710,Seafood and seafood products manufacturing,21,47.0,21,0,16,3,69.36,1475.74,446.81,0.0,19,1186,16.98,2.48,HIGH RISK OUTLIER
Ryder System,Ryder Location 2266,OH,811310,maintniance shop,1,3.0,1,0,1,0,4.42,1473.33,333.33,0.0,1,142,3.45,0.06,NORMAL RISK
